nuclide,atoms_initial,atoms_final,delta_atoms
Ac206,0.0,0.0,0.0
Ac206_m1,0.0,0.0,0.0
Ac207,0.0,0.0,0.0
Ac208,0.0,0.0,0.0
Ac208_m1,0.0,0.0,0.0
Ac209,0.0,0.0,0.0
Ac210,0.0,0.0,0.0
Ac211,0.0,0.0,0.0
Ac212,0.0,0.0,0.0
Ac213,0.0,0.0,0.0
Ac214,0.0,0.0,0.0
Ac215,0.0,0.0,0.0
Ac216,0.0,0.0,0.0
Ac216_m1,0.0,0.0,0.0
Ac217,0.0,0.0,0.0
Ac218,0.0,0.0,0.0
Ac219,0.0,0.0,0.0
Ac220,0.0,0.004311864205141867,0.004311864205141867
Ac221,0.0,0.000548250613673097,0.000548250613673097
Ac222,0.0,0.0,0.0
Ac222_m1,0.0,0.0,0.0
Ac223,0.0,0.0,0.0
Ac224,0.0,3.060054121354322,3.060054121354322
Ac225,0.0,67934837.86759908,67934837.86759908
Ac226,0.0,0.0,0.0
Ac227,0.0,640681083804.6217,640681083804.6217
Ac228,0.0,2818.7999000961536,2818.7999000961536
Ac229,0.0,0.0,0.0
Ac230,0.0,0.0,0.0
Ac231,0.0,0.0,0.0
Ac232,0.0,0.0,0.0
Ac233,0.0,0.0,0.0
Ac234,0.0,0.0,0.0
Ac235,0.0,0.0,0.0
Ac236,0.0,0.0,0.0
Ag100,0.0,0.0,0.0
Ag100_m1,0.0,0.0,0.0
Ag101,0.0,0.0,0.0
Ag101_m1,0.0,0.0,0.0
Ag102,0.0,0.0,0.0
Ag102_m1,0.0,0.0,0.0
Ag103,0.0,0.0,0.0
Ag103_m1,0.0,0.0,0.0
Ag104,0.0,0.0,0.0
Ag104_m1,0.0,0.0,0.0
Ag105,0.0,0.0,0.0
Ag105_m1,0.0,0.0,0.0
Ag106,0.0,0.0,0.0
Ag106_m1,0.0,0.0,0.0
Ag107,0.0,0.0,0.0
Ag107_m1,0.0,0.0,0.0
Ag108,0.0,0.0,0.0
Ag108_m1,0.0,0.0,0.0
Ag109,1.8030229999999994e+21,1.8030229999999989e+21,-524288.0
Ag109_m1,0.0,0.0,0.0
Ag110,0.0,0.0,0.0
Ag110_m1,0.0,0.0,0.0
Ag111,0.0,0.0,0.0
Ag111_m1,0.0,0.0,0.0
Ag112,0.0,0.0,0.0
Ag113,0.0,0.0,0.0
Ag113_m1,0.0,0.0,0.0
Ag114,0.0,0.0,0.0
Ag114_m1,0.0,0.0,0.0
Ag115,0.0,0.0,0.0
Ag115_m1,0.0,0.0,0.0
Ag116,0.0,0.0,0.0
Ag116_m1,0.0,0.0,0.0
Ag116_m2,0.0,0.0,0.0
Ag117,0.0,0.0,0.0
Ag117_m1,0.0,0.0,0.0
Ag118,0.0,0.0,0.0
Ag118_m1,0.0,0.0,0.0
Ag119,0.0,0.0,0.0
Ag119_m1,0.0,0.0,0.0
Ag120,0.0,0.0,0.0
Ag120_m1,0.0,0.0,0.0
Ag121,0.0,0.0,0.0
Ag122,0.0,0.0,0.0
Ag122_m1,0.0,0.0,0.0
Ag123,0.0,0.0,0.0
Ag124,0.0,0.0,0.0
Ag125,0.0,0.0,0.0
Ag126,0.0,0.0,0.0
Ag127,0.0,0.0,0.0
Ag128,0.0,0.0,0.0
Ag129,0.0,0.0,0.0
Ag130,0.0,0.0,0.0
Ag93,0.0,0.0,0.0
Ag94,0.0,0.0,0.0
Ag94_m1,0.0,0.0,0.0
Ag94_m2,0.0,0.0,0.0
Ag95,0.0,0.0,0.0
Ag95_m1,0.0,0.0,0.0
Ag95_m2,0.0,0.0,0.0
Ag95_m3,0.0,0.0,0.0
Ag96,0.0,0.0,0.0
Ag96_m1,0.0,0.0,0.0
Ag97,0.0,0.0,0.0
Ag98,0.0,0.0,0.0
Ag99,0.0,0.0,0.0
Ag99_m1,0.0,0.0,0.0
Al21,0.0,0.0,0.0
Al22,0.0,0.0,0.0
Al23,0.0,0.0,0.0
Al24,0.0,0.0,0.0
Al24_m1,0.0,0.0,0.0
Al25,0.0,0.0,0.0
Al26,0.0,0.0,0.0
Al26_m1,0.0,0.0,0.0
Al27,0.0,0.0,0.0
Al28,0.0,0.0,0.0
Al29,0.0,0.0,0.0
Al30,0.0,0.0,0.0
